sceneOverviewCode,sceneOverviewName,group
20250407008,【入库】包裹类异常换商品标签上架,A
20250522001,【入库】指定商品拍照暂存,B
20250407004,【入库】尺重/标签辨识后换标上架,F-001
20250407002,【入库】包裹级异常不开箱拍外观照片,inbound
20250407003,【入库】上架前拆包装,inbound
20250407006,【入库】同异常多种处理方式（直接上架+换包装上架+换标上架+部分销毁）,inbound
20250407020,【入库】组合后上架,inbound
20250407025,【入库】异常商品/包裹数量与实际不符，按照实际贴标上架,inbound
20250407075,【入库】指定包裹拍照,inbound
20250408002,【入库】商品质检,inbound
20250430,【入库】“包裹条码批量异常（需客户处理）”辨识后补贴包裹标签上架,inbound
20250506,【入库】A+包出现订单外商品，无法登记异常，需补贴包裹标签新单上架,inbound
20250509,【入库】更换客制包材,inbound
20250529001,【入库】上架前采集条码（含SN码、A+包第三方包裹码等）,inbound
20250530001,【入库】无主货找回暂存,inbound
202506120001,【入库】关联第三方商品条码上架,inbound
202506120002,【入库】上架前盘点,inbound
202506120003,【入库】批量辨识商品后补贴商品条码及包裹条码上架,inbound
202506170001,【入库】加固包装（含透明胶带封口、木箱加固等）,inbound
20250619,【入库】 ABC类/子包裹内商品错装暂存（需客户处理），云仓不支持原单补贴包裹条码上架,inbound
202507021814,【入库】上架前拦截,inbound
202507151726,【入库】入库少单品/少包裹视频调查,inbound
20250929,【入库】海运整柜100%A+无包裹条码异常，新单无箱单或100%A+包直接上架,inbound
20251010,【入库】新单商品与原单商品不一致，导致无法提交补贴包裹标签,inbound
202510102,【入库】商品条码异常仓库登记信息不符，客户已更新关联，需直接上架,inbound
20251027,【入库】包裹类异常关联第三方包裹条码直接上架,inbound
20251103,【入库】补贴包裹标签上架到原入库单“已终止的”包裹中,inbound
20251104,【入库】无箱单预报单不支持标准增值（含商品换标/换包装）,inbound
20251111,【入库】Winit头程不支持随入库单下标准增值,inbound
20251114,【入库】海运整柜100%A+无包裹条码异常，不支持更换商品包装增值,inbound
20251124,【入库】包裹条码异常，客户需要有箱单直接上架,inbound
20251205,【入库】新单上架到预报单，无需更换包裹条码,inbound
20251208,【入库】包裹级异常更换包装,inbound
20260115,【入库】上架到不良品,inbound
20260128002,【入库】代采购包材补贴标签上架,inbound
20260302,【入库】覆盖/清除标签,inbound
20260320,【入库】 商品异常更换包裹标签商品标签新单上架,inbound
20260413,【入库】商品分类理货/预处理,inbound
2026041701,【入库】补贴透明计划标签,inbound
2026042101,【入库】100%A+/A包裹包裹条码批量异常（需客户处理）,inbound
2026050701,【入库】商品上架并冻结,inbound
2026051101,【入库】包裹/商品条码异常重新扫描包裹/商品条码上架,inbound
20260522,【入库】商品条码异常换包装+重新贴标后上架,inbound
2026060801,【入库】仓库加班工时费收取,inbound
20260616,【入库】A+包质量异常需开箱辨识,inbound
20260622001,【入库】补贴包裹条码原单上架,inbound
INBOUND_DESTORY_BF_SHELVE,【入库】上架前销毁,inbound
INBOUND_PICKUP_BF_SHELVE,【入库】上架前自提,inbound
[Warehouse] Package-level abnormalities Unpack and take product photos,【入库】包裹级异常开箱拍商品照片,inbound
[Warehouse]AbnormalTransferOfParcelsFromMultipleWarehouses,【入库】包裹串仓异常调拨,inbound
20250401002,【库内】关联第三方条码上架,instock
20250407010,【库内】指定库位开箱拍照,instock
20250407035,【库内】拍摄照片/视频,instock
20250407039,【库内】审计盘点,instock
20250407043,【库内】商品外观辨识+贴标上架,instock
20250407045,【库内】辨识后贴标上架+销毁,instock
20250407047,【库内】商品软件升级,instock
20250407051,【库内】良品/不良品检测,instock
20250407052,【库内】包裹错装换标上架,instock
20250407055,【库内】更换客制包装,instock
20250407056,【库内】商品包装加固,instock
20250407060,【库内】A+包裹更换标签上架,instock
20250407061,【库内】销毁出库拦截,instock
20250407062,【库内】指定单品/库位商品更换标签上架,instock
20250407063,【库内】普货转带电商品补贴UN标签,instock
20250407065,【库内】指定单品销毁,instock
20250407066,【库内】覆盖A包包裹外箱上的商品标签,instock
20250407067,【库内】贴透明计划标签+拍照,instock
20250407068,【库内】在库库存切换批次管理,instock
20250407069,【库内】开箱取卡片,instock
20250407070,【库内】不合规商品指定供应商销毁,instock
20250407071,【库内】商品组合,instock
20250407073,【库内】冻结商品直接上架,instock
20250407074,【库内】库间调拨,instock
20250408003,【库内】柔性打包重量测量,instock
20250408004,【库内】单一产品开箱补贴商品标签,instock
20250421001,【库内】商品拆箱加/减配件,instock
20250427001,【库内】商品贴指令性标签（警示标语/使用说明/清洁维护等）+拍照,instock
20250512001,【库内】商品更换包装（WINIT标准包材）,instock
20250603001,【库内】单一产品转箱产品,instock
20250616001,【库内】清除包装绑带,instock
20250619001,【库内】代采购包材物料,instock
20250620001,【库内】IT改数收费,instock
20250701001,【库内】指定包裹盘点上架数量,instock
20250714001,【库内】UN箱补贴箭头标识,instock
20250714003,【库内】单品条码状态异常换新入库单上架,instock
