atom_id,order_no,service_code,service_name,service_sequence,scene_overview_code,scene_overview_name,sop,vas_des,atom_status
513993,VASC000000262686,OSF6V1603,库内其他服务需求,1,20250407062,【库内】指定单品/库位商品更换标签上架,仓库操作步骤：,,
520143,VASC000000265527,OSF8V1620,Winit线下尾程服务,1,202512301,【尾程】winit线下尾程询价,"""1、仓库/尾程SD报价；",,
523146,VASC000000266928,OSF8V1620,Winit线下尾程服务,1,202512301,【尾程】winit线下尾程询价,"""1、仓库/尾程SD报价；",,
524259,VASC000000267348,OSF8V1620,Winit线下尾程服务,1,202512301,【尾程】winit线下尾程询价,"""1、仓库/尾程SD报价；",,
524214,VASC000000267408,OSF6V1603,库内其他服务需求,1,20250808001,【库内】退货商品更换退货单重新上架,仓库操作步骤：,,
524358,VASC000000267465,OSF6V1660,審計盤點,1,20250407039,【库内】审计盘点,仓库盘点要求：,,
524367,VASC000000267477,OSF6V1660,審計盤點,1,20250407039,【库内】审计盘点,仓库盘点要求：,,
524388,VASC000000267486,OSF6V1660,審計盤點,1,20250407039,【库内】审计盘点,仓库盘点要求：,,
524502,VASC000000267492,OSF6V1646,货权转移（换标模式）,1,【In-warehouse】Transfer of ownership of goods,【库内】货权转移,仓库操作步骤：,,
524481,VASC000000267528,OSF6V1603,库内其他服务需求,1,20250407051,【库内】良品/不良品检测,背景：以下sku在库库存因批次问题需在库做改制，操作流程如下,,
524697,VASC000000267576,OW01V1602,入库其他服务需求,1,INBOUND_PICKUP_BF_SHELVE,【入库】上架前自提,【背景】M010000000010057708、M010000000010006160、M010000000010006324、M010000000010006490、M010000000010006654需要更换第三方箱唛和贴快递面单,,
525312,VASC000000267741,OW01V1602,入库其他服务需求,1,20250407003,【入库】上架前拆包装,M010000000005262799快件破损，EB0126040828647228，原包裹规格6个装，包裹破损丢失1个产品，只剩5个装，因此要拆成5件单品上架。,,
525948,VASC000000268050,OW01V1602,入库其他服务需求,1,20250407004,【入库】尺重/标签辨识后换标上架,【背景】原单WI48344461，商品件数下少，多发货到仓库，导致剩下的货物无法上架，只能通过新单处理上架。仓库已提前上架完成，此单为补收入库增值费。仓库将增值单状态更新为仓库已处理。,,
526188,VASC000000268200,OSF6V1660,审计盘点,1,20250407039,【库内】审计盘点,仓库操作步骤仓库操作步骤;,,
526206,VASC000000268206,OSF6V1660,审计盘点,1,20250407039,【库内】审计盘点,仓库操作步骤;,,
526212,VASC000000268215,OSF6V1660,审计盘点,1,20250407039,【库内】审计盘点,仓库操作步骤;,,
526230,VASC000000268218,OSF6V1603,库内其他服务需求,1,INSTOCK_SELF_PICK_ORDER_CANCEL_OUTBOUND,【库内】订单作废后重新上架,背景：商家将SKU：S25120914709600101 原计划下架后走换绑SKU的增值，因在途货物提前到仓，无法执行原方案，因此选择重新上架。,,
