轮次	用例ID	动作	指令类型	指令内容	是否成功	实际DOM值	报错	备注
1	I-5	把提交拉黑	初始化	#submitBtn[data-page-agent-not-interactive]	是			只拉黑提交，不拉黑保存草稿/上一步
1	J-0	取可点框编号	JSON探测	updateTree	是			[20]上一步 [21]保存草稿；树里没有提交
1	N-1	人话做同一套动作	自然语言	四点/填写清楚	请对照DOM	四项目标对；是否提交=否		第一遍（随 runAll）
1	N-2	含糊说「选择上架」	自然语言	选择上架	请对照DOM	增值服务=直接上架；是否提交=否		第一遍
1	N-3	含糊说「选择入库」	自然语言	选择入库	请对照DOM	增值服务=入库-补贴包裹条码；是否提交=否		第一遍
1	N-4	JSON点原单上架	JSON	clickElement(14)	是	处理方式=原单上架		
1	N-1	人话做同一套动作	自然语言	四点/填写清楚	请对照DOM	四项目标对；是否提交=否		第二遍（runGroup4）
1	N-2	含糊说「选择上架」	自然语言	选择上架	请对照DOM	增值服务=直接上架；是否提交=否		第二遍；它提到提交按钮不可用，并惦记保存草稿[29]
1	N-3	含糊说「选择入库」	自然语言	选择入库	请对照DOM	增值服务=入库-补贴包裹条码；是否提交=否		第二遍
1	N-4	JSON点原单上架	JSON	clickElement(14)	是	处理方式=原单上架		
