vascCode,vascName,sequence,atomCode,atomName,attrSpecStatus,requiredInVasc,mutexGroupCn
VASC202407012141008,新单上架（WINIT创建入库单）,1,OW01V1561,入库-更换商品包装,covered_by_vas_event_attrs_slim,N,入库-更换商品包装
VASC202407012141008,新单上架（WINIT创建入库单）,2,OW01V1559,入库-更换新商品条码,covered_by_vas_event_attrs_slim,N,贴商品标
VASC202407012141008,新单上架（WINIT创建入库单）,3,OW01V1558,入库-补贴原商品条码,covered_by_vas_event_attrs_slim,N,贴商品标
VASC202407012141008,新单上架（WINIT创建入库单）,4,OW01V1572,入库-第三方商品条码关联,missing,N,贴商品标
VASC202407012141008,新单上架（WINIT创建入库单）,5,OW01V1560,入库-补贴包裹条码,covered_by_vas_event_attrs_slim,N,入库-补贴包裹条码
VASC202407031456553,库内轻加工,1,OSF6V1566,库内-更换商品包装,covered_by_vas_event_attrs_slim,N,库内-更换商品包装
VASC202407031456553,库内轻加工,2,OSF6V1565,库内-更换新商品条码,covered_by_vas_event_attrs_slim,N,贴标/换标
VASC202407031456553,库内轻加工,3,OSF6V1564,库内-补贴原商品条码,covered_by_vas_event_attrs_slim,N,贴标/换标
VASC202407031456553,库内轻加工,4,OSF6V1681,错装商品直接上架,missing,N,贴标/换标
VASC202407031456553,库内轻加工,5,OSF6V1574,库内-商品其他标签（非商品条码）,covered_by_vas_event_attrs_slim,N,库内-商品附加标签
VASC202407031456553,库内轻加工,6,OSF6V1591,拍照暂存后上架,missing,N,拍照暂存后上架
VASC202407031456553,库内轻加工,7,OSF6V1576,库内-商品拆分,missing,N,
VASC202407031456553,库内轻加工,8,OSF6V1804,库内-商品组合,missing,N,
VASC202407031503503,原单上架,1,OW01V1561,入库-更换商品包装,covered_by_vas_event_attrs_slim,N,入库-更换商品包装
VASC202407031503503,原单上架,2,OW01V1559,入库-更换新商品条码,covered_by_vas_event_attrs_slim,N,贴商品标
VASC202407031503503,原单上架,3,OW01V1558,入库-补贴原商品条码,covered_by_vas_event_attrs_slim,N,贴商品标
VASC202407031503503,原单上架,4,OW01V1572,入库-第三方商品条码关联,missing,N,贴商品标
VASC202407031503503,原单上架,5,OW01V1825,入库-补贴原商品条码（带示例图）,covered_by_vas_event_attrs_slim,N,贴商品标
VASC202407031503503,原单上架,6,OW01V1573,入库-商品其他标签（非商品条码）,covered_by_vas_event_attrs_slim,N,入库-商品附加标签
VASC202407031503503,原单上架,7,OW01V1560,入库-补贴包裹条码,covered_by_vas_event_attrs_slim,N,入库-补贴包裹条码
VASC202407031507376,入库商品拍照,1,OW01V1562,入库-商品开箱拍照,missing,N,商品拍照辨识
VASC202407031511413,库内商品拍照,1,OSF6V1569,库内-商品外观拍照,covered_by_vas_event_attrs_slim,N,拍照
VASC202407031511413,库内商品拍照,2,OSF6V1570,库内-商品开箱拍照,covered_by_vas_event_attrs_slim,N,拍照
